Cust_num,Region,Age,Order Quantity,Customer_Type,Improvement Area,Overall_Satisfaction
1,WEST,45,24,Prime,Product Quality,Dis Satisfied
2,EAST,20,75,Prime,Product Quality,Satisfied
3,EAST,28,70,Prime,Packing & Shipping,Satisfied
4,SOUTH,66,28,Prime,Website UI,Dis Satisfied
5,WEST,22,39,Prime,Website UI,Satisfied
6,WEST,19,50,Prime,Website UI,Satisfied
7,EAST,37,74,Prime,Packing & Shipping,Satisfied
8,WEST,57,22,Non_Prime,Packing & Shipping,Dis Satisfied
9,NORTH,39,58,Prime,Packing & Shipping,Satisfied
10,SOUTH,21,50,Prime,Website UI,Satisfied
11,NORTH,32,34,Prime,Website UI,Satisfied
12,SOUTH,43,6,Non_Prime,Packing & Shipping,Dis Satisfied
13,SOUTH,43,20,Prime,Packing & Shipping,Dis Satisfied
14,SOUTH,43,75,Prime,Product Quality,Satisfied
15,NORTH,32,6,Non_Prime,Website UI,Dis Satisfied
16,SOUTH,30,73,Prime,Website UI,Satisfied
17,SOUTH,69,10,Non_Prime,Website UI,Dis Satisfied
18,NORTH,33,38,Prime,Packing & Shipping,Dis Satisfied
19,EAST,36,41,Prime,Product Quality,Satisfied
20,NORTH,44,47,Prime,Website UI,Satisfied
21,EAST,30,77,Prime,Packing & Shipping,Satisfied
22,EAST,46,20,Non_Prime,Website UI,Dis Satisfied
23,NORTH,42,19,Non_Prime,Packing & Shipping,Dis Satisfied
24,WEST,33,30,Non_Prime,Product Quality,Dis Satisfied
25,SOUTH,19,35,Prime,Website UI,Satisfied
26,SOUTH,22,80,Prime,Product Quality,Satisfied
27,WEST,37,52,Prime,Packing & Shipping,Satisfied
28,SOUTH,35,19,Non_Prime,Packing & Shipping,Dis Satisfied
29,WEST,59,37,Prime,Packing & Shipping,Dis Satisfied
30,EAST,25,33,Prime,Packing & Shipping,Satisfied
31,WEST,40,77,Prime,Product Quality,Satisfied
32,WEST,33,22,Non_Prime,Packing & Shipping,Dis Satisfied
33,NORTH,58,12,Prime,Packing & Shipping,Dis Satisfied
34,EAST,47,9,Non_Prime,Website UI,Dis Satisfied
35,SOUTH,29,35,Prime,Product Quality,Satisfied
36,SOUTH,49,16,Prime,Packing & Shipping,Dis Satisfied
37,SOUTH,41,55,Non_Prime,Packing & Shipping,Satisfied
38,NORTH,31,48,Prime,Packing & Shipping,Satisfied
39,EAST,34,24,Non_Prime,Packing & Shipping,Dis Satisfied
40,SOUTH,35,20,Non_Prime,Packing & Shipping,Dis Satisfied
41,SOUTH,24,59,Prime,Product Quality,Satisfied
42,SOUTH,33,49,Prime,Packing & Shipping,Satisfied
43,SOUTH,23,50,Prime,Packing & Shipping,Satisfied
44,SOUTH,38,29,Prime,Packing & Shipping,Dis Satisfied
45,WEST,40,7,Non_Prime,Product Quality,Dis Satisfied
46,WEST,47,21,Non_Prime,Website UI,Dis Satisfied
47,EAST,22,64,Non_Prime,Website UI,Satisfied
48,SOUTH,35,79,Prime,Packing & Shipping,Satisfied
49,SOUTH,43,74,Prime,Website UI,Satisfied
50,NORTH,67,27,Prime,Packing & Shipping,Dis Satisfied
51,NORTH,38,16,Prime,Packing & Shipping,Dis Satisfied
52,SOUTH,19,30,Prime,Packing & Shipping,Satisfied
53,WEST,22,66,Prime,Website UI,Satisfied
54,SOUTH,20,71,Prime,Product Quality,Satisfied
55,WEST,63,9,Non_Prime,Website UI,Dis Satisfied
56,WEST,38,91,Prime,Website UI,Satisfied
57,NORTH,55,7,Non_Prime,Packing & Shipping,Dis Satisfied
58,EAST,55,6,Non_Prime,Website UI,Dis Satisfied
59,NORTH,42,10,Non_Prime,Packing & Shipping,Dis Satisfied
60,WEST,67,31,Non_Prime,Website UI,Dis Satisfied
61,SOUTH,20,94,Prime,Packing & Shipping,Dis Satisfied
62,WEST,54,12,Non_Prime,Product Quality,Satisfied
63,SOUTH,25,34,Prime,Website UI,Dis Satisfied
64,NORTH,52,28,Prime,Packing & Shipping,Satisfied
65,SOUTH,41,35,Prime,Packing & Shipping,Dis Satisfied
66,NORTH,20,52,Prime,Product Quality,Dis Satisfied
67,WEST,63,17,Prime,Packing & Shipping,Satisfied
68,WEST,40,97,Prime,Packing & Shipping,Satisfied
69,NORTH,49,32,Prime,Product Quality,Satisfied
70,SOUTH,66,34,Non_Prime,Product Quality,Dis Satisfied
71,WEST,47,31,Prime,Product Quality,Dis Satisfied
72,WEST,37,46,Prime,Packing & Shipping,Dis Satisfied
73,WEST,45,35,Non_Prime,Product Quality,Satisfied
74,NORTH,46,35,Prime,Packing & Shipping,Satisfied
75,SOUTH,44,22,Non_Prime,Packing & Shipping,Dis Satisfied
76,SOUTH,22,79,Prime,Product Quality,Satisfied
77,WEST,31,63,Prime,Packing & Shipping,Satisfied
78,SOUTH,65,13,Prime,Packing & Shipping,Dis Satisfied
79,WEST,35,83,Prime,Website UI,Satisfied
80,EAST,35,62,Prime,Website UI,Satisfied
81,EAST,39,60,Non_Prime,Packing & Shipping,Satisfied
82,EAST,65,38,Prime,Packing & Shipping,Dis Satisfied
83,WEST,44,9,Prime,Website UI,Dis Satisfied
84,SOUTH,65,23,Non_Prime,Packing & Shipping,Dis Satisfied
85,SOUTH,42,46,Prime,Packing & Shipping,Satisfied
86,EAST,44,73,Non_Prime,Product Quality,Satisfied
87,NORTH,56,40,Prime,Website UI,Satisfied
88,EAST,27,56,Prime,Packing & Shipping,Satisfied
89,NORTH,59,18,Non_Prime,Packing & Shipping,Satisfied
